Buying Price,Maintenance Cost,Number of Doors,Number of Persons,Lug_Boot,Safety,Classification
vhigh,vhigh,2,2,small,low,unacceptable
vhigh,vhigh,2,2,small,med,unacceptable
vhigh,vhigh,2,2,small,high,unacceptable
vhigh,vhigh,2,2,med,low,unacceptable
vhigh,vhigh,2,2,med,med,unacceptable
vhigh,vhigh,2,2,med,high,unacceptable
vhigh,vhigh,2,2,big,low,unacceptable
vhigh,vhigh,2,2,big,med,unacceptable
vhigh,vhigh,2,2,big,high,unacceptable
vhigh,vhigh,2,4,small,low,unacceptable
vhigh,vhigh,2,4,small,med,unacceptable
vhigh,vhigh,2,4,small,high,unacceptable
vhigh,vhigh,2,4,med,low,unacceptable
vhigh,vhigh,2,4,med,med,unacceptable
vhigh,vhigh,2,4,med,high,unacceptable
vhigh,vhigh,2,4,big,low,unacceptable
vhigh,vhigh,2,4,big,med,unacceptable
vhigh,vhigh,2,4,big,high,unacceptable
vhigh,vhigh,2,5,small,low,unacceptable
vhigh,vhigh,2,5,small,med,unacceptable
vhigh,vhigh,2,5,small,high,unacceptable
vhigh,vhigh,2,5,med,low,unacceptable
vhigh,vhigh,2,5,med,med,unacceptable
vhigh,vhigh,2,5,med,high,unacceptable
vhigh,vhigh,2,5,big,low,unacceptable
vhigh,vhigh,2,5,big,med,unacceptable
vhigh,vhigh,2,5,big,high,unacceptable
vhigh,vhigh,3,2,small,low,unacceptable
vhigh,vhigh,3,2,small,med,unacceptable
vhigh,vhigh,3,2,small,high,unacceptable
vhigh,vhigh,3,2,med,low,unacceptable
vhigh,vhigh,3,2,med,med,unacceptable
vhigh,vhigh,3,2,med,high,unacceptable
vhigh,vhigh,3,2,big,low,unacceptable
vhigh,vhigh,3,2,big,med,unacceptable
vhigh,vhigh,3,2,big,high,unacceptable
vhigh,vhigh,3,4,small,low,unacceptable
vhigh,vhigh,3,4,small,med,unacceptable
vhigh,vhigh,3,4,small,high,unacceptable
vhigh,vhigh,3,4,med,low,unacceptable
vhigh,vhigh,3,4,med,med,unacceptable
vhigh,vhigh,3,4,med,high,unacceptable
vhigh,vhigh,3,4,big,low,unacceptable
vhigh,vhigh,3,4,big,med,unacceptable
vhigh,vhigh,3,4,big,high,unacceptable
vhigh,vhigh,3,5,small,low,unacceptable
vhigh,vhigh,3,5,small,med,unacceptable
vhigh,vhigh,3,5,small,high,unacceptable
vhigh,vhigh,3,5,med,low,unacceptable
vhigh,vhigh,3,5,med,med,unacceptable
vhigh,vhigh,3,5,med,high,unacceptable
vhigh,vhigh,3,5,big,low,unacceptable
vhigh,vhigh,3,5,big,med,unacceptable
vhigh,vhigh,3,5,big,high,unacceptable
vhigh,vhigh,4,2,small,low,unacceptable
vhigh,vhigh,4,2,small,med,unacceptable
vhigh,vhigh,4,2,small,high,unacceptable
vhigh,vhigh,4,2,med,low,unacceptable
vhigh,vhigh,4,2,med,med,unacceptable
vhigh,vhigh,4,2,med,high,unacceptable
vhigh,vhigh,4,2,big,low,unacceptable
vhigh,vhigh,4,2,big,med,unacceptable
vhigh,vhigh,4,2,big,high,unacceptable
vhigh,vhigh,4,4,small,low,unacceptable
vhigh,vhigh,4,4,small,med,unacceptable
vhigh,vhigh,4,4,small,high,unacceptable
vhigh,vhigh,4,4,med,low,unacceptable
vhigh,vhigh,4,4,med,med,unacceptable
vhigh,vhigh,4,4,med,high,unacceptable
vhigh,vhigh,4,4,big,low,unacceptable
vhigh,vhigh,4,4,big,med,unacceptable
vhigh,vhigh,4,4,big,high,unacceptable
vhigh,vhigh,4,5,small,low,unacceptable
vhigh,vhigh,4,5,small,med,unacceptable
vhigh,vhigh,4,5,small,high,unacceptable
vhigh,vhigh,4,5,med,low,unacceptable
vhigh,vhigh,4,5,med,med,unacceptable
vhigh,vhigh,4,5,med,high,unacceptable
vhigh,vhigh,4,5,big,low,unacceptable
vhigh,vhigh,4,5,big,med,unacceptable
vhigh,vhigh,4,5,big,high,unacceptable
vhigh,vhigh,5,2,small,low,unacceptable
vhigh,vhigh,5,2,small,med,unacceptable
vhigh,vhigh,5,2,small,high,unacceptable
vhigh,vhigh,5,2,med,low,unacceptable
vhigh,vhigh,5,2,med,med,unacceptable
vhigh,vhigh,5,2,med,high,unacceptable
vhigh,vhigh,5,2,big,low,unacceptable
vhigh,vhigh,5,2,big,med,unacceptable
vhigh,vhigh,5,2,big,high,unacceptable
vhigh,vhigh,5,4,small,low,unacceptable
vhigh,vhigh,5,4,small,med,unacceptable
vhigh,vhigh,5,4,small,high,unacceptable
